i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,i15_seen
美国,16019,爱丽丝姨妈,7.2,1969,李·H. 卡金,"剧情,悬疑,惊悚,恐怖,犯罪",101,美国,156,1293552,https://movie.douban.com/subject/1293552/,http://www.imdb.com/title/tt0065206,22018,,
香港,16020,独臂刀王,7.2,1969,张彻,"动作,冒险,武侠,古装",106,香港,1210,1298556,https://movie.douban.com/subject/1298556/,http://www.imdb.com/title/tt0064265,2940,,
香港,16021,三笑,7.2,1969,岳枫,"喜剧,戏曲",111,香港,761,1304390,https://movie.douban.com/subject/1304390/,http://www.imdb.com/title/tt0194332,20365,,
日本,16022,地狱变,7.2,1969,丰田四郎,剧情,95,日本,292,1308597,https://movie.douban.com/subject/1308597/,http://www.imdb.com/title/tt0064512,14906,,
日本,16023,无理性暴行之现代性犯罪绝叫篇,7.2,1969,若松孝二,,,日本,160,2078299,https://movie.douban.com/subject/2078299/,http://www.imdb.com/title/tt0291196,16814,,
日本,16024,日本海大海战,7.2,1969,丸山诚治Seiji Maruyama,"剧情,历史,战争",128,日本,208,4013801,https://movie.douban.com/subject/4013801/,http://www.imdb.com/title/tt0064733,2041,,
美国,16025,目标,7.2,1968,彼得·博格丹诺维奇,惊悚,90,美国,78,1294610,https://movie.douban.com/subject/1294610/,http://www.imdb.com/title/tt0063671,14541,,
日本,16026,山本五十六,7.2,1968,丸山诚治,"剧情,战争",131,日本,638,1296668,https://movie.douban.com/subject/1296668/,http://www.imdb.com/title/tt0063822,21576,,
美国,16027,双乐满堂,7.2,1968,梅尔韦尔·沙维尔森,"喜剧,家庭",111,美国,89,1297386,https://movie.douban.com/subject/1297386/,http://www.imdb.com/title/tt0063829,16490,,
美国,16028,勾魂手,7.2,1968,理查德·弗莱彻,"剧情,悬疑,惊悚,犯罪",116,美国,82,1302664,https://movie.douban.com/subject/1302664/,http://www.imdb.com/title/tt0062755,14927,,
法国,16029,黑衣新娘,7.2,1968,弗朗索瓦·特吕福,"剧情,悬疑,犯罪",107,法国 / 意大利,508,1303544,https://movie.douban.com/subject/1303544/,http://www.imdb.com/title/tt0061955,24984,,
苏联,16030,钻石胳膊,7.2,1968,列昂尼德·盖代,"喜剧,动作,惊悚,家庭,犯罪,冒险",100,苏联,210,1779321,https://movie.douban.com/subject/1779321/,http://www.imdb.com/title/tt0062759,4694,,
美国,16031,共生心理分类学,7.2,1968,威廉·格雷夫斯,纪录片,70,美国,157,1876327,https://movie.douban.com/subject/1876327/,http://www.imdb.com/title/tt0296881,3421,,
波兰,16032,鸟,7.2,1968,利斯扎德·捷卡拉,"动画,短片",,波兰,81,2274914,https://movie.douban.com/subject/2274914/,,17171,,
法国,16033,贼中贼,7.2,1967,路易·马勒,"剧情,喜剧,犯罪",120,法国 / 意大利,82,1294709,https://movie.douban.com/subject/1294709/,http://www.imdb.com/title/tt0062457,15652,,
日本,16034,日本春歌考,7.2,1967,大岛渚,剧情,103,日本,834,1301311,https://movie.douban.com/subject/1301311/,http://www.imdb.com/title/tt0062042,4327,,
法国,16035,中国姑娘,7.2,1967,让-吕克·戈达尔,"剧情,喜剧",96,法国,1729,1302589,https://movie.douban.com/subject/1302589/,http://www.imdb.com/title/tt0061473,15506,,
美国,16036,谁在敲我的门,7.2,1967,马丁·斯科塞斯,剧情,90,美国,453,1429058,https://movie.douban.com/subject/1429058/,http://www.imdb.com/title/tt0063803,5806,,
英国,16037,男孩和自行车的故事,7.2,1965,雷德利·斯科特,短片,27,英国,454,1874914,https://movie.douban.com/subject/1874914/,http://www.imdb.com/title/tt0346645,15210,,
France,16038,关于帕斯卡尔的对话,7.2,1965,Eric Rohmer,"纪录片,短片",22,France,61,1939855,https://movie.douban.com/subject/1939855/,http://www.imdb.com/title/tt0209224,11960,,
南斯拉夫,16039,墙,7.2,1965,Ante Zaninovi?,"动画,短片",,南斯拉夫,88,1957893,https://movie.douban.com/subject/1957893/,http://www.imdb.com/title/tt0924006,14768,,
南斯拉夫,16040,魔鬼的杰作,7.2,1965,兹拉特科·葛雷吉克,"动画,短片",9,南斯拉夫,52,1959800,https://movie.douban.com/subject/1959800/,http://www.imdb.com/title/tt0321940,15888,,
土耳其,16041,爱情时刻,7.2,1965,Metin Erksan,"剧情,爱情",89,土耳其,40,3195043,https://movie.douban.com/subject/3195043/,http://www.imdb.com/title/tt0167400,15830,,
美国,16042,裸吻,7.2,1964,塞缪尔·富勒,"剧情,惊悚,犯罪,黑色电影",90,美国,764,1294823,https://movie.douban.com/subject/1294823/,http://www.imdb.com/title/tt0058390,14535,,
意大利,16043,血与黑蕾丝,7.2,1964,马里奥·巴瓦,"悬疑,惊悚,恐怖",88,意大利 / 法国 / 摩纳哥,427,1295220,https://movie.douban.com/subject/1295220/,http://www.imdb.com/title/tt0058567,9514,,
美国,16044,红死病,7.2,1964,罗杰·科曼,恐怖,89,美国 / 英国,289,1298348,https://movie.douban.com/subject/1298348/,http://www.imdb.com/title/tt0058333,8044,,
美国,16045,罗马帝国沦亡录,7.2,1964,安东尼·曼,"剧情,历史",188,美国,482,1302394,https://movie.douban.com/subject/1302394/,http://www.imdb.com/title/tt0058085,2651,,
