i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop
Jamaica,2953,摇滚家,8.5,1978,Ted Bafaloukos,"剧情,喜剧,音乐",100,Jamaica,109,1812497,https://movie.douban.com/subject/1812497/,http://www.imdb.com/title/tt0079815,10577,,
日本,2954,小孤星马高,8.5,1999,（監督） - 楠葉宏三,动画,96,日本,108,1308158,https://movie.douban.com/subject/1308158/,http://www.imdb.com/title/tt0264837,8908,,
UK,2955,Punk:,8.5,2005,Don Letts,,,UK / USA,107,1940552,https://movie.douban.com/subject/1940552/,http://www.imdb.com/title/tt0446765,2587,,
德国,2956,过山车,8.5,2008,马汀·巴斯克,"剧情,喜剧,短片",30,德国,105,4131506,https://movie.douban.com/subject/4131506/,http://www.imdb.com/title/tt1341805,20455,,
英国,2957,哈德良皇帝,8.5,2008,John Trefor,纪录片,,英国,105,5180126,https://movie.douban.com/subject/5180126/,http://www.imdb.com/title/tt1297338,12603,,
日本,2958,赛文奥特曼,8.5,1999,高野敏幸,,,日本,105,5041030,https://movie.douban.com/subject/5041030/,,14987,,
日本,2959,黑泽明的电影人生,8.5,1993,大岛渚,纪录片,118,日本,104,2347278,https://movie.douban.com/subject/2347278/,http://www.imdb.com/title/tt1606846,4963,,
荷兰,2960,指挥马勒,8.5,1995,弗兰克·舍费尔,"纪录片,音乐",75,荷兰,103,1958926,https://movie.douban.com/subject/1958926/,http://www.imdb.com/title/tt0112713,17336,,
英国,2961,摇滚大骗局,8.5,1980,Julien Temple,"喜剧,音乐,歌舞",103,英国,102,1480146,https://movie.douban.com/subject/1480146/,http://www.imdb.com/title/tt0080813,6418,,
美国,2962,The,8.5,2005,安东·寇班,"纪录片,音乐",,美国,101,1439838,https://movie.douban.com/subject/1439838/,http://www.imdb.com/title/tt0471433,6767,,
美国,2963,勇气之峰,8.5,1990,Christopher Leitch,"剧情,家庭,冒险",98,美国 / 法国,101,1303268,https://movie.douban.com/subject/1303268/,http://www.imdb.com/title/tt0097115,13926,,
中国大陆,2964,彩色老安康,8.5,1947,卡尔·莫特森,纪录片,20,中国大陆,100,25861802,https://movie.douban.com/subject/25861802/,,23479,,
加拿大,2965,再见，小红帽！,8.5,1989,玛特·美莎露丝,剧情,94,加拿大 / 匈牙利,100,4038768,https://movie.douban.com/subject/4038768/,http://www.imdb.com/title/tt0097000,23240,,
英国,2966,2001：创造神话,8.5,2001,Paul Joyce,纪录片,43,英国,99,2969786,https://movie.douban.com/subject/2969786/,http://www.imdb.com/title/tt1014669,6326,,
日本,2967,南国少年巴布华,8.5,1992,高木淳,,,日本,97,2032860,https://movie.douban.com/subject/2032860/,http://www.imdb.com/title/tt0320896,8391,,
美国,2968,娱乐世界,8.5,1994,Bud Friedgen,"纪录片,音乐,家庭",120,美国,97,1299959,https://movie.douban.com/subject/1299959/,http://www.imdb.com/title/tt0111408,7629,,
美国,2969,太空漫步,8.5,1962,Gene Deitch,"动画,短片",,美国,96,10502527,https://movie.douban.com/subject/10502527/,http://www.imdb.com/title/tt0056252,13984,,
法国,2970,游走的手,8.5,2010,Noémie Gillot,,,法国,96,5359975,https://movie.douban.com/subject/5359975/,,22945,,
美国,2971,加菲猫：前世今生,8.5,1988,Phil Roman,"喜剧,动画,音乐,家庭,冒险",,美国,93,3266693,https://movie.douban.com/subject/3266693/,http://www.imdb.com/title/tt0292522,13713,,
美国,2972,极寒之城,8.5,2017,大卫·里奇,"动作,悬疑,惊悚",115,美国,92,26386034,https://movie.douban.com/subject/26386034/,http://www.imdb.com/title/tt2406566,3,,
美国,2973,控制室,8.5,2004,Jehane Noujaim,纪录片,84,美国,92,1755337,https://movie.douban.com/subject/1755337/,http://www.imdb.com/title/tt0391024,7517,,
英国,2974,Imagine,8.5,2007,BBC 2,,,英国,91,3154967,https://movie.douban.com/subject/3154967/,http://www.imdb.com/title/tt1246935,4318,,
日本,2975,夏之岚,8.5,1973,荒井美三雄,纪录片,71,日本,91,3629197,https://movie.douban.com/subject/3629197/,,5245,,
美国,2976,Krush,8.5,1985,迈克尔·舒尔茨,"剧情,喜剧,音乐",97,美国,89,1781431,https://movie.douban.com/subject/1781431/,http://www.imdb.com/title/tt0089444,3096,,
德国,2977,皮娜·鲍什,8.5,2006,Anne Linsel,纪录片,43,德国,89,3340468,https://movie.douban.com/subject/3340468/,http://www.imdb.com/title/tt0924265,7961,,
英国,2978,安德烈·塔可夫斯基传[BBC],8.5,1987,Charlie Paterson,纪录片,,英国,88,4824875,https://movie.douban.com/subject/4824875/,,10345,,
美国,2979,红色羊齿草的故乡,8.5,2003,Lyman Dayton,剧情,86,美国,87,2117810,https://movie.douban.com/subject/2117810/,http://www.imdb.com/title/tt0192788,6249,,
美国,2980,贝聿铭：建造现代中国,8.5,2010,Anne Makepeace,纪录片,90,美国,84,21340814,https://movie.douban.com/subject/21340814/,http://www.imdb.com/title/tt1617696,16610,,
美国,2981,缱绻星光下,8.5,2002,Paul Justman,"纪录片,音乐",116,美国,84,1420047,https://movie.douban.com/subject/1420047/,http://www.imdb.com/title/tt0314725,11120,,
美国,2982,哪里是回家的路,8.5,2009,Rebecca Cammisa,纪录片,90,美国,83,2132493,https://movie.douban.com/subject/2132493/,http://www.imdb.com/title/tt0489342,7565,,
美国,2983,斯坦利·库布里克的视角,8.5,2007,Gary Leva,"纪录片,短片",17,美国,82,2970208,https://movie.douban.com/subject/2970208/,http://www.imdb.com/title/tt1144823,8412,,
美国,2984,刘易斯探案,8.5,2006,比尔·安德森,"剧情,悬疑,犯罪",93,美国 / 英国,80,3932785,https://movie.douban.com/subject/3932785/,http://www.imdb.com/title/tt0469870,20642,,
德国,2985,雷姆·库哈斯：一种建筑师,8.5,2008,Markus Heidingsfelder,纪录片,,德国,78,3591712,https://movie.douban.com/subject/3591712/,http://www.imdb.com/title/tt1287920,9925,,
德国,2986,阿尔卑斯：俯瞰我们的山岳,8.5,2013,Peter Bardehle,纪录片,94,德国,77,25703530,https://movie.douban.com/subject/25703530/,http://www.imdb.com/title/tt3119298,16972,,
西德,2987,伦敦庞克风,8.5,1977,Wolfgang Büld,"纪录片,音乐",111,西德,77,2343558,https://movie.douban.com/subject/2343558/,http://www.imdb.com/title/tt0079763/,4049,,
英国,2988,主要嫌疑犯4：黑暗气息,8.5,1995,Paul Marcus,"剧情,悬疑,惊悚,犯罪",102,英国,77,5110546,https://movie.douban.com/subject/5110546/,http://www.imdb.com/title/tt0114181,24999,,
法国,2989,狐狸的故事,8.5,1930,Irene Starewicz,"喜剧,动画,家庭,奇幻",65,法国,75,1308928,https://movie.douban.com/subject/1308928/,http://www.imdb.com/title/tt0021309,15979,,
墨西哥,2990,推定有罪,8.5,2008,Roberto Hernández,纪录片,87,墨西哥,75,4827939,https://movie.douban.com/subject/4827939/,http://www.imdb.com/title/tt1320254,16707,,
英国,2991,地平线系列：狂饮真的伤身吗？,8.5,2015,Sophie Todd,纪录片,60,英国,74,26410681,https://movie.douban.com/subject/26410681/,http://www.imdb.com/title/tt4953130,14126,,
法国,2992,巴黎芭蕾歌舞剧院的舞蹈家们,8.5,2001,尼尔斯·塔维涅,"纪录片,音乐",,法国,73,1845885,https://movie.douban.com/subject/1845885/,http://www.imdb.com/title/tt0260713,14015,,
Russia,2993,安德烈·塔可夫斯基的牺牲之路,8.5,2012,Denis Trofimov,纪录片,,Russia,72,20514956,https://movie.douban.com/subject/20514956/,,6908,,
美国,2994,未完成的空间,8.5,2011,Alysa Nahmias,纪录片,85,美国,72,3760998,https://movie.douban.com/subject/3760998/,http://www.imdb.com/title/tt1444337,11034,,
巴西,2995,Bjork:,8.5,2004,Ragnheidur Gestadóttir,"纪录片,音乐",,巴西 / 冰岛 / 英国 / 美国,70,2567739,https://movie.douban.com/subject/2567739/,http://www.imdb.com/title/tt0429682,10907,,
中国大陆,2996,乐魂,8.5,1995,朱枫,,,中国大陆,70,3113472,https://movie.douban.com/subject/3113472/,,15975,,
波兰,2997,我是怎样发动第二次世界大战的,8.5,1970,Tadeusz Chmielewski,"喜剧,战争",224,波兰,70,2337382,https://movie.douban.com/subject/2337382/,http://www.imdb.com/title/tt0065908,20857,,
奥地利,2998,指挥大师卡拉扬传,8.5,1999,Gernot Friedel,,,奥地利 / 德国,69,1920141,https://movie.douban.com/subject/1920141/,http://www.imdb.com/title/tt0332112,15116,,
德国,2999,混乱之日,8.5,1996,PUNK,,,德国,68,4010975,https://movie.douban.com/subject/4010975/,http://www.imdb.com/title/tt0116978,5284,,
英国,3000,Granpa,8.5,1989,Dianne Jackson,"动画,家庭",,英国,67,2040157,https://movie.douban.com/subject/2040157/,http://www.imdb.com/title/tt0406810,5511,,
瑞典,3001,法罗档案,8.5,1980,英格玛·伯格曼,纪录片,,瑞典,67,2181377,https://movie.douban.com/subject/2181377/,http://www.imdb.com/title/tt0079187,7963,,
美国,3002,普鲁特艾格计划的迷思,8.5,2011,Chad Freidrichs,纪录片,79,美国,67,6010934,https://movie.douban.com/subject/6010934/,http://www.imdb.com/title/tt1788461,15915,,
美国,3003,热咖啡,8.5,2011,Susan Saladoff,纪录片,88,美国,66,3764942,https://movie.douban.com/subject/3764942/,http://www.imdb.com/title/tt1445203,2364,,
德国,3004,涂鸦,8.5,2006,Florian Gaag,剧情,,德国 / 波兰,66,2190505,https://movie.douban.com/subject/2190505/,http://www.imdb.com/title/tt0498203,10003,,
中国大陆,3005,黑白人间,8.5,1992,王秉林 ,犯罪,,中国大陆,65,1303993,https://movie.douban.com/subject/1303993/,http://www.imdb.com/title/tt0339118,13498,,
美国,3006,齐泽克！,8.5,2005,Astra Taylor,纪录片,,美国 / 加拿大,64,1438315,https://movie.douban.com/subject/1438315/,http://www.imdb.com/title/tt0478338,5544,,
日本,3007,蜘蛛与郁金香,8.5,1943,政冈宪三,"动画,短片,歌舞",16,日本,63,2051925,https://movie.douban.com/subject/2051925/,http://www.imdb.com/title/tt0163040,13281,,
美国,3008,基甸的部队,8.5,2013,Dawn Porter,纪录片,96,美国,62,20415233,https://movie.douban.com/subject/20415233/,http://www.imdb.com/title/tt2179053,11211,,
美国,3009,空气,8.5,2009,Luke Davies,"剧情,短片",,美国,62,5168212,https://movie.douban.com/subject/5168212/,http://www.imdb.com/title/tt1453944,21434,,
泰国,3010,烟花(档案),8.5,2015,阿彼察邦·韦拉斯哈古,短片,,泰国,60,26887135,https://movie.douban.com/subject/26887135/,,19642,,
美国,3011,卡西姆之梦,8.5,2008,Kief Davidson,纪录片,87,美国,59,5185081,https://movie.douban.com/subject/5185081/,http://www.imdb.com/title/tt1201576,19963,,
德国,3012,勿忘我,8.5,2013,大卫·西佛金,"纪录片,传记",88,德国,58,20452125,https://movie.douban.com/subject/20452125/,http://www.imdb.com/title/tt2389530,9600,,
中国大陆,3013,国庆大阅兵,8.5,1984,陆方,"纪录片,短片",35,中国大陆,57,10555681,https://movie.douban.com/subject/10555681/,,9063,,
加拿大,3014,印第安画卷,8.5,2009,Neil Diamond,纪录片,86,加拿大,57,4739712,https://movie.douban.com/subject/4739712/,http://www.imdb.com/title/tt1484114,13323,,
西班牙,3015,神圣机器5,8.5,2014,Jossie Malis,動畫 Animation,,西班牙,57,26664316,https://movie.douban.com/subject/26664316/,http://www.imdb.com/title/tt4467862,6143,,
UK,3016,纽约往事,8.5,2007,Benjamin Whalley,,,UK,56,2241582,https://movie.douban.com/subject/2241582/,http://www.imdb.com/title/tt0984082,4589,,
英国,3017,Glitterbug,8.5,1994,Derek Jarman,传记,60,英国,55,1660223,https://movie.douban.com/subject/1660223/,http://www.imdb.com/title/tt0109909,10548,,
USA,3018,决堤之时：四幕安魂曲,8.5,2006,Spike Lee,,,USA,53,1863570,https://movie.douban.com/subject/1863570/,http://www.imdb.com/title/tt0783612,6370,,
美国,3019,眩晕,8.5,2013,露西·沃克,"纪录片,家庭,传记",108,美国,53,20451121,https://movie.douban.com/subject/20451121/,http://www.imdb.com/title/tt2499076,7353,,
美国,3020,勇往直前,8.5,1988,Charlotte Zwerin,"纪录片,音乐,传记",90,美国,53,1419852,https://movie.douban.com/subject/1419852/,http://www.imdb.com/title/tt0098465,10622,,
法国,3021,马路上的玛侬,8.5,2007,Elizabeth Marre,"剧情,短片",,法国,52,3034725,https://movie.douban.com/subject/3034725/,http://www.imdb.com/title/tt1186020,22136,,
台湾,3022,在高速公路上游泳,8.5,1998,吳耀東,纪录片,,台湾,52,6894263,https://movie.douban.com/subject/6894263/,,16122,,
美国,3023,核弹,8.5,2015,PBS,纪录片,,美国,50,26587730,https://movie.douban.com/subject/26587730/,http://www.imdb.com/title/tt4840922,10556,,
西班牙,3024,"当我们死后,就没有人再议论我们了",8.5,1995,Agustín Díaz Yanes,剧情,104,西班牙,49,1958665,https://movie.douban.com/subject/1958665/,http://www.imdb.com/title/tt0113918,23207,,
苏联,3025,地獄,8.5,1983,Rein Raamat,"动画,短片",17,苏联,44,4293206,https://movie.douban.com/subject/4293206/,http://www.imdb.com/title/tt0475702,4268,,
德国,3026,混乱日,8.5,2009,Tarek Ehlail,动作,90,德国,44,4122466,https://movie.douban.com/subject/4122466/,http://www.imdb.com/title/tt1159634,11740,,
中国大陆,3027,鱼盘,8.5,1988,方润南,"动画,短片",5,中国大陆,44,10482181,https://movie.douban.com/subject/10482181/,,8061,,
美国,3028,风雨血痕,8.5,1935,莱奥·麦卡雷,"喜剧,爱情",90,美国,43,1295136,https://movie.douban.com/subject/1295136/,http://www.imdb.com/title/tt0026955,2716,,
美国,3029,自由的波兰海报,8.5,2009,Glenn Holsten,纪录片,39,美国,43,26581102,https://movie.douban.com/subject/26581102/,,9923,,
美国,3030,风雨娉婷,8.5,1987,道格拉斯·希考克斯,剧情,375,美国,42,1486042,https://movie.douban.com/subject/1486042/,http://www.imdb.com/title/tt0092378,24809,,
德国,3031,我们称它“铁克诺”！,8.5,2008,Maren Sextro,纪录片,,德国,41,4849950,https://movie.douban.com/subject/4849950/,,9728,,
美国,3032,凡尔纳的假期,8.5,2009,Sylvain Marc,短片,,美国,40,6714089,https://movie.douban.com/subject/6714089/,,12800,,
印度,3033,假戏真做阖家欢,8.5,2010,Vamsi Paidipally,"剧情,动作,爱情",169,印度,40,5151605,https://movie.douban.com/subject/5151605/,http://www.imdb.com/title/tt1661031,19278,,
美国,3034,丹凤还阳,8.5,1937,Henry Koster,"喜剧,音乐",84,美国,39,1438566,https://movie.douban.com/subject/1438566/,http://www.imdb.com/title/tt0029347,6633,,
美国,3035,飞奔的高乔人,8.5,1928,Ub Iwerks,"喜剧,动画,短片,家庭,西部",6,美国,39,2118393,https://movie.douban.com/subject/2118393/,http://www.imdb.com/title/tt0018925,16162,,
荷兰,3036,金属及忧郁气质,8.5,1994,Heddy Honigmann,"剧情,纪录片",80,荷兰,39,4725947,https://movie.douban.com/subject/4725947/,http://www.imdb.com/title/tt0107558,16283,,
奥地利,3037,梦之作,8.5,2002,彼特·契尔卡斯基,短片,10,奥地利,39,1780852,https://movie.douban.com/subject/1780852/,http://www.imdb.com/title/tt0303331,17381,,
英国,3038,生死之间,8.5,2010,Nick Holt,纪录片,50,英国,37,10427026,https://movie.douban.com/subject/10427026/,http://www.imdb.com/title/tt1850984,8928,,
法国,3039,阿巴斯：真实与梦想,8.5,1994,Jean-Pierre Limosin,纪录片,52,法国,35,2221051,https://movie.douban.com/subject/2221051/,http://www.imdb.com/title/tt0208055,11144,,
美国,3040,跟随我的声音：带着赫德韦格的音乐,8.5,2006,Katherine Linton,纪录片,,美国,35,2011498,https://movie.douban.com/subject/2011498/,http://www.imdb.com/title/tt0800034,2835,,
荷兰,3041,荷兰镜像,8.5,1950,伯特·汉斯特若,"纪录片,短片",10,荷兰,35,5360369,https://movie.douban.com/subject/5360369/,http://www.imdb.com/title/tt0042990,16532,,
英国,3042,弗莱迪·默克里：伟大的伪装者,8.5,2012,Freddie Mercury,,107,英国,34,20413573,https://movie.douban.com/subject/20413573/,,8018,,
美国,3043,血之羁绊：莎莉曼的生活与工作,8.5,1994,Steven Cantor,"纪录片,短片",,美国,34,2981434,https://movie.douban.com/subject/2981434/,http://www.imdb.com/title/tt0106431,19990,,
美国,3044,西方文明的衰落,8.5,1981,Penelope Spheeris,"纪录片,音乐,历史",100,美国,33,1477192,https://movie.douban.com/subject/1477192/,http://www.imdb.com/title/tt0082252,6945,,
德国,3045,纽约爱乐乐团,8.5,2008,Michael Beyer,"纪录片,音乐",,德国,32,4851847,https://movie.douban.com/subject/4851847/,http://www.imdb.com/title/tt1194482,20182,,
中国大陆,3046,双面菲克雷特,8.5,2012,王海洋,"动画,短片",,中国大陆,32,19902994,https://movie.douban.com/subject/19902994/,http://www.imdb.com/title/tt2622696,22179,,
日本,3047,生活在阿贺,8.5,1992,佐藤真,纪录片,115,日本,30,1474416,https://movie.douban.com/subject/1474416/,http://www.imdb.com/title/tt0203281,8634,,
加拿大,3048,为了世界的继续,8.5,1963,米歇尔·布洛尔特,纪录片,105,加拿大,27,2978155,https://movie.douban.com/subject/2978155/,http://www.imdb.com/title/tt0057423,6588,,
英国,3049,I,8.5,2013,Robert Fantinatto,,241,英国,26,25799480,https://movie.douban.com/subject/25799480/,,11936,,
英国,3050,天才达尔文,8.5,2008,Russell Barnes,纪录片,60,英国,25,3401417,https://movie.douban.com/subject/3401417/,http://www.imdb.com/title/tt1279086,5005,,
英国,3051,王牌特工：特工学院,8.4,2015,马修·沃恩,"喜剧,动作,犯罪,冒险",125,英国 / 美国,310294,24405378,https://movie.douban.com/subject/24405378/,http://www.imdb.com/title/tt2802144,310,,
美国,3052,火星救援,8.4,2015,雷德利·斯科特,"剧情,科幻,冒险",144,美国 / 英国,285604,25864085,https://movie.douban.com/subject/25864085/,http://www.imdb.com/title/tt3659388,357,,
美国,3053,里约大冒险,8.4,2011,卡洛斯·沙尔丹哈,"喜剧,动画,冒险",96,美国,213946,3731581,https://movie.douban.com/subject/3731581/,http://www.imdb.com/title/tt1436562,421,,
美国,3054,速度与激情5,8.4,2011,林诣彬,"动作,犯罪",130,美国,205136,4286017,https://movie.douban.com/subject/4286017/,http://www.imdb.com/title/tt1596343,347,,
美国,3055,比利·林恩的中场战事,8.4,2016,李安,"剧情,战争",110,美国 / 英国 / 中国大陆,180426,25983044,https://movie.douban.com/subject/25983044/,http://www.imdb.com/title/tt2513074,1092,,
美国,3056,黑客帝国2：重装上阵,8.4,2003,莉莉·沃卓斯基,"动作,科幻",138,美国 / 澳大利亚,133965,1304141,https://movie.douban.com/subject/1304141/,http://www.imdb.com/title/tt0234215,466,,
英国,3057,角斗士,8.4,2000,雷德利·斯科特,"剧情,动作,历史,冒险",155,英国 / 美国,120951,1293530,https://movie.douban.com/subject/1293530/,http://www.imdb.com/title/tt0172495,390,,
日本,3058,导盲犬小Q,8.4,2004,崔洋一,剧情,100,日本,112062,1316572,https://movie.douban.com/subject/1316572/,http://www.imdb.com/title/tt0400761,326,,
香港,3059,暗战,8.4,1999,杜琪峰,"剧情,动作,犯罪",93,香港,109186,1298898,https://movie.douban.com/subject/1298898/,http://www.imdb.com/title/tt0216165,578,,
香港,3060,神探,8.4,2007,杜琪峰,"动作,惊悚,犯罪",89,香港,99890,2027938,https://movie.douban.com/subject/2027938/,http://www.imdb.com/title/tt0969269,940,,
美国,3061,弱点,8.4,2009,约翰·李·汉考克,"剧情,家庭,传记,运动",129,美国,98611,3552028,https://movie.douban.com/subject/3552028/,http://www.imdb.com/title/tt0878804,574,,
美国,3062,出租车司机,8.4,1976,马丁·斯科塞斯,"剧情,犯罪",113,美国,97889,1292222,https://movie.douban.com/subject/1292222/,http://www.imdb.com/title/tt0075314,583,,
韩国,3063,追击者,8.4,2008,罗泓轸,"剧情,惊悚,犯罪",119,韩国,90340,3006309,https://movie.douban.com/subject/3006309/,http://www.imdb.com/title/tt1190539,402,,
英国,3064,她比烟花寂寞,8.4,1998,安南德·图克尔,"剧情,音乐,传记",121,英国,89890,1293708,https://movie.douban.com/subject/1293708/,http://www.imdb.com/title/tt0150915,774,,
美国,3065,一级恐惧,8.4,1996,格里高利·霍布里特,"剧情,悬疑,惊悚,犯罪",129,美国,82616,1296217,https://movie.douban.com/subject/1296217/,http://www.imdb.com/title/tt0117381,260,,
韩国,3066,黄海,8.4,2010,罗泓轸,"剧情,动作,犯罪",157,韩国 / 美国 / 香港,74686,3743114,https://movie.douban.com/subject/3743114/,http://www.imdb.com/title/tt1230385,439,,
法国,3067,艺术家,8.4,2011,迈克尔·哈扎纳维希乌斯,"剧情,喜剧,爱情",100,法国 / 比利时 / 美国,74030,6097775,https://movie.douban.com/subject/6097775/,http://www.imdb.com/title/tt1655442,15940,,
日本,3068,盗钥匙的方法,8.4,2012,内田贤治,"剧情,喜剧",128,日本,70216,6880497,https://movie.douban.com/subject/6880497/,http://www.imdb.com/title/tt2078599,829,,
丹麦,3069,狗镇,8.4,2003,拉斯·冯·提尔,"剧情,悬疑,惊悚",178,丹麦 / 瑞典 / 挪威 / 芬兰 / 英国 / 法国 / 德国 / 荷兰 / 意大利,67913,1298759,https://movie.douban.com/subject/1298759/,http://www.imdb.com/title/tt0276919,427,,
美国,3070,回到未来,8.4,1985,罗伯特·泽米吉斯,"喜剧,科幻,冒险",116,美国,67432,1300555,https://movie.douban.com/subject/1300555/,http://www.imdb.com/title/tt0088763,828,,
美国,3071,后窗,8.4,1954,阿尔弗雷德·希区柯克,"悬疑,惊悚",112,美国,64722,1299080,https://movie.douban.com/subject/1299080/,http://www.imdb.com/title/tt0047396,529,,
美国,3072,单身男子,8.4,2009,汤姆·福特,"剧情,同性",101,美国,64713,3275168,https://movie.douban.com/subject/3275168/,http://www.imdb.com/title/tt1315981,1741,,
法国,3073,蓝白红三部曲之蓝,8.4,1993,克日什托夫·基耶斯洛夫斯基,"剧情,爱情",98,法国 / 波兰 / 瑞士,64468,1292048,https://movie.douban.com/subject/1292048/,http://www.imdb.com/title/tt0108394,1025,,
美国,3074,王牌对王牌,8.4,1998,F·加里·格雷,"剧情,动作,悬疑,惊悚,犯罪",140,美国 / 德国,62557,1293434,https://movie.douban.com/subject/1293434/,http://www.imdb.com/title/tt0120768,467,,
美国,3075,盗火线,8.4,1995,迈克尔·曼,"剧情,动作,犯罪",170,美国,62489,1295686,https://movie.douban.com/subject/1295686/,http://www.imdb.com/title/tt0113277,701,,
台湾,3076,推手,8.4,1991,李安,"剧情,家庭",105,台湾 / 美国,60310,1306939,https://movie.douban.com/subject/1306939/,http://www.imdb.com/title/tt0105652,442,,
日本,3077,名侦探柯南：世纪末的魔术师,8.4,1999,儿玉兼嗣,"喜剧,动画,悬疑,犯罪,冒险",100,日本,58388,2279152,https://movie.douban.com/subject/2279152/,http://www.imdb.com/title/tt1067920,17308,,
日本,3078,百变狸猫,8.4,1994,高畑勋,"剧情,喜剧,动画,奇幻",119,日本,54441,1303907,https://movie.douban.com/subject/1303907/,http://www.imdb.com/title/tt0110008,496,,
法国,3079,蓝白红三部曲之白,8.4,1994,克日什托夫·基耶斯洛夫斯基,"剧情,喜剧,爱情,悬疑",91,法国 / 波兰 / 瑞士,49812,1292049,https://movie.douban.com/subject/1292049/,http://www.imdb.com/title/tt0111507,1843,,
中国大陆,3080,三毛从军记,8.4,1992,张建亚,"剧情,喜剧,战争",90,中国大陆,46947,2132220,https://movie.douban.com/subject/2132220/,http://www.imdb.com/title/tt5781778,17387,,
日本,3081,火影忍者剧场版：博人传,8.4,2015,山下宏幸,"动作,动画,冒险",96,日本,45637,26282448,https://movie.douban.com/subject/26282448/,http://www.imdb.com/title/tt4618398,14931,,
中国大陆,3082,那山那人那狗,8.4,1999,霍建起,"剧情,家庭",93,中国大陆,43917,1307766,https://movie.douban.com/subject/1307766/,http://www.imdb.com/title/tt0210916,1109,,
香港,3083,阮玲玉,8.4,1991,关锦鹏,"剧情,爱情,传记",126,香港,43858,1293414,https://movie.douban.com/subject/1293414/,http://www.imdb.com/title/tt0102816,387,,
香港,3084,秋天的童话,8.4,1987,张婉婷,"剧情,爱情",98,香港,43680,1301912,https://movie.douban.com/subject/1301912/,http://www.imdb.com/title/tt0093426,1612,,
美国,3085,大河恋,8.4,1992,罗伯特·雷德福,"剧情,家庭",123,美国,43452,1292718,https://movie.douban.com/subject/1292718/,http://www.imdb.com/title/tt0105265,2057,,
英国,3086,天鹅绒金矿,8.4,1998,托德·海因斯,"剧情,同性,音乐",,英国 / 美国,41908,1294136,https://movie.douban.com/subject/1294136/,http://www.imdb.com/title/tt0120879,799,,
印度,3087,偶滴神啊,8.4,2012,Umesh Shukla,"剧情,喜剧",125,印度,40139,19945757,https://movie.douban.com/subject/19945757/,http://www.imdb.com/title/tt2283748,641,,
爱尔兰,3088,凯尔经的秘密,8.4,2009,汤姆·摩尔,"剧情,动画,奇幻",75,爱尔兰 / 法国 / 比利时,39919,3212221,https://movie.douban.com/subject/3212221/,http://www.imdb.com/title/tt0485601,987,,
美国,3089,棋逢敌手,8.4,1997,简·皮克瓦,"动画,短片,家庭",4,美国,39420,1299243,https://movie.douban.com/subject/1299243/,http://www.imdb.com/title/tt0131409,893,,
日本,3090,坏孩子的天空,8.4,1996,北野武,剧情,107,日本,39246,1299062,https://movie.douban.com/subject/1299062/,http://www.imdb.com/title/tt0116767,265,,
阿根廷,3091,摩托日记,8.4,2004,沃尔特·塞勒斯,"剧情,传记,冒险",126,阿根廷 / 美国 / 智利 / 秘鲁 / 巴西 / 英国 / 德国 / 法国,32340,1309015,https://movie.douban.com/subject/1309015/,http://www.imdb.com/title/tt0318462,279,,
日本,3092,五个扑水的少年,8.4,2001,矢口史靖,"喜剧,运动",90,日本,30752,1301359,https://movie.douban.com/subject/1301359/,http://www.imdb.com/title/tt0299213,756,,
美国,3093,不可饶恕,8.4,1992,克林特·伊斯特伍德,"剧情,西部",131,美国,29709,1293566,https://movie.douban.com/subject/1293566/,http://www.imdb.com/title/tt0105695,618,,
中国大陆,3094,高三,8.4,2005,周浩,纪录片,95,中国大陆,26375,1761854,https://movie.douban.com/subject/1761854/,http://www.imdb.com/title/tt4276994,2284,,
奥地利,3095,茜茜公主2,8.4,1956,恩斯特·马利斯卡,"剧情,爱情,历史",107,奥地利,25284,1302235,https://movie.douban.com/subject/1302235/,http://www.imdb.com/title/tt0049762,1048,,
美国,3096,奔腾年代,8.4,2003,盖瑞·罗斯,"剧情,历史,运动",140,美国,23658,1307535,https://movie.douban.com/subject/1307535/,http://www.imdb.com/title/tt0329575,962,,
美国,3097,亚当斯一家,8.4,1991,巴里·索南菲尔德,"喜剧,家庭,奇幻",99,美国,22135,1293718,https://movie.douban.com/subject/1293718/,http://www.imdb.com/title/tt0101272,3237,,
意大利,3098,八部半,8.4,1963,费德里科·费里尼,"剧情,奇幻",138,意大利 / 法国,21058,1361276,https://movie.douban.com/subject/1361276/,http://www.imdb.com/title/tt0056801,1052,,
美国,3099,喜福会,8.4,1993,王颖,"剧情,爱情",139,美国,19935,1299923,https://movie.douban.com/subject/1299923/,http://www.imdb.com/title/tt0107282,24170,,
法国,3100,祖与占,8.4,1962,弗朗索瓦·特吕弗,"剧情,爱情",105,法国,19617,1292338,https://movie.douban.com/subject/1292338/,http://www.imdb.com/title/tt0055032,2191,,
阿根廷,3101,杰出公民,8.4,2016,加斯顿·杜帕拉特,"剧情,喜剧",118,阿根廷 / 西班牙,19480,26844922,https://movie.douban.com/subject/26844922/,http://www.imdb.com/title/tt4562518,9848,,
俄罗斯,3102,危楼愚夫,8.4,2014,尤里·贝科夫,剧情,116,俄罗斯,18564,25882861,https://movie.douban.com/subject/25882861/,http://www.imdb.com/title/tt3560686,2597,,
