i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,
澳大利亚,11268,2:37,7.7,2006,Murali K. Thalluri,剧情,99,澳大利亚,4045,1859053,https://movie.douban.com/subject/1859053/,http://www.imdb.com/title/tt0472582,11268,,
新加坡,22378,4:30,7.9,2005,陈子谦,剧情,93,新加坡,674,1767159,https://movie.douban.com/subject/1767159/,http://www.imdb.com/title/tt0497877,22378,,
英国,2364,7,9.2,1998,Magnus Carlsson,"短片,音乐",34,英国 / 美国,270,1418158,https://movie.douban.com/subject/1418158/,http://www.imdb.com/title/tt0354859,2364,,
法国,23732,7.57,7.7,2010,Simon Lelouch,"短片,音乐",11,法国,1201,4714342,https://movie.douban.com/subject/4714342/,http://www.imdb.com/title/tt1525914,23732,,
香港,2280,20,7.2,2004,张艾嘉,"剧情,喜剧,爱情,音乐,运动",113,香港 / 台湾 / 日本,43108,1310174,https://movie.douban.com/subject/1310174/,http://www.imdb.com/title/tt0397229,2280,,
日本,1591,69,7.5,2004,李相日,剧情,111,日本,5642,1316589,https://movie.douban.com/subject/1316589/,http://www.imdb.com/title/tt0408470,1591,,
美国,22273,405,7.2,2000,Bruce Branit,"喜剧,动作,惊悚,短片",,美国,400,3628789,https://movie.douban.com/subject/3628789/,http://www.imdb.com/title/tt0259165,22273,,
新加坡,8440,881,7.4,2007,陈子谦,"剧情,喜剧,歌舞",115,新加坡,315,2256976,https://movie.douban.com/subject/2256976/,http://www.imdb.com/title/tt0979847,8440,,
美国,11110,911,8.6,2002,Rob Klug,,102,美国 / 法国,152,1477175,https://movie.douban.com/subject/1477175/,http://www.imdb.com/title/tt0312318,11110,,
中国大陆,19043,1994,8.7,2015,谢梦茜,"纪录片,短片",4,中国大陆,59,26700645,https://movie.douban.com/subject/26700645/,,19043,,
日本,20485,2009,7.3,2009,及川拓郎,,,日本,456,4172515,https://movie.douban.com/subject/4172515/,,20485,,
美国,15172,2010,7.6,2010,Hamish Hamilton,音乐,,美国,735,5281568,https://movie.douban.com/subject/5281568/,http://www.imdb.com/title/tt1720618,15172,,
美国,9255,2010,7.7,1984,彼得·海姆斯,"科幻,悬疑,惊悚,冒险",116,美国,5612,1293572,https://movie.douban.com/subject/1293572/,http://www.imdb.com/title/tt0086837,9255,,
美国,1774,2012,7.7,2009,罗兰·艾默里奇,"动作,科幻,冒险,灾难",158,美国 / 加拿大,272948,3005875,https://movie.douban.com/subject/3005875/,http://www.imdb.com/title/tt1190080,1774,,
香港,541,2046,7.4,2004,王家卫,"剧情,爱情,科幻,奇幻",129,香港 / 中国大陆 / 法国 / 意大利 / 德国,118888,1291555,https://movie.douban.com/subject/1291555/,http://www.imdb.com/title/tt0212712,541,,
香港,7362,9413,7,1998,吴镇宇,"动作,悬疑,犯罪",90,香港,707,1295633,https://movie.douban.com/subject/1295633/,http://www.imdb.com/title/tt0179064,7362,,
Russia,18548,5月4日,7.9,1990,Ivan Maksimov,,,Russia,81,2281015,https://movie.douban.com/subject/2281015/,,18548,,
美国,3640,(无)性恋,7,2011,Angela Tucker,"剧情,喜剧,纪录片",75,美国,365,6812932,https://movie.douban.com/subject/6812932/,http://www.imdb.com/title/tt1811293,3640,,
英国,24188,“大都市”酒店珠宝失窃案,7.9,1993,安德鲁·格里弗,"剧情,悬疑,犯罪",52,英国,458,1768217,https://movie.douban.com/subject/1768217/,http://www.imdb.com/title/tt0245183,24188,,
英国,4635,“高级定制”的秘密世界,7.7,2007,Margy Kinmoth,,,英国,164,3831580,https://movie.douban.com/subject/3831580/,http://www.imdb.com/title/tt1008035,4635,,
英国,1074,“脉动”伦敦现场演唱会,9.6,1994,David Mallet,"纪录片,音乐",145,英国,376,1440919,https://movie.douban.com/subject/1440919/,http://www.imdb.com/title/tt0110758,1074,,
法国,8646,“我们的时代”之阿基郭利斯马基,8.2,2001,Guy Girard,,55,法国,38,2381932,https://movie.douban.com/subject/2381932/,http://www.imdb.com/title/tt0321701,8646,,
中国大陆,15484,“下次开船”港游记,8.4,1983,秦志钰,"儿童,奇幻",,中国大陆,451,1873359,https://movie.douban.com/subject/1873359/,,15484,,
美国,17874,“原始”家庭,7.1,1998,Todd Holland (I),"喜剧,家庭",94,美国,107,1300172,https://movie.douban.com/subject/1300172/,http://www.imdb.com/title/tt0120725,17874,,
美国,8579,《超人复活》夭折记,7.6,2015,乔恩·施奈普,纪录片,104,美国,45,25935972,https://movie.douban.com/subject/25935972/,http://www.imdb.com/title/tt2753778,8579,,
美国,18229,《发展受阻》全纪录,8.6,2013,杰夫·史密斯,纪录片,75,美国,160,3401615,https://movie.douban.com/subject/3401615/,http://www.imdb.com/title/tt1240538,18229,,
法国,14234,《各自逃生》的剧本,7.3,1979,让-吕克·戈达尔,短片,20,法国,31,2138332,https://movie.douban.com/subject/2138332/,http://www.imdb.com/title/tt0126022,14234,,
英国,22153,《西贡小姐》二十五周年表演,8.4,2016,Brett Sullivan,"纪录片,真人秀",200,英国 / 美国,531,26914297,https://movie.douban.com/subject/26914297/,http://www.imdb.com/title/tt6162808,22153,,
意大利,6792,《乡愁》中的塔可夫斯基,8.8,1984,Donatella Baglivo,纪录片,94,意大利,106,4002153,https://movie.douban.com/subject/4002153/,http://www.imdb.com/title/tt0252880,6792,,
美国,3845,《星际穿越》中的科学,7.7,2014,Gail Willumsen,"纪录片,短片",41,美国,2867,26263467,https://movie.douban.com/subject/26263467/,http://www.imdb.com/title/tt4415360,3845,,
美国,1747,《原力觉醒》之谜：电影之旅,7.9,2016,劳伦·布罗泽,纪录片,69,美国,65,26762935,https://movie.douban.com/subject/26762935/,http://www.imdb.com/title/tt5532610,1747,,
新西兰,18953,《指环王》纪录片,9,2002,Costa Botes,纪录片,,新西兰,31,1892535,https://movie.douban.com/subject/1892535/,http://www.imdb.com/title/tt0302751,18953,,
美国,16945,《指环王》全纪录,7.7,2001,Lisa Kors,纪录片,60,美国,193,1479800,https://movie.douban.com/subject/1479800/,http://www.imdb.com/title/tt0312999,16945,,
台湾,19204,「很久沒有敬我了你」電影?音樂?劇—跨界紀實,8.3,2011,龍男?以撒克?凡亞思 Lungnan Isak Fangas,音乐,80,台湾,50,11600065,https://movie.douban.com/subject/11600065/,,19204,,
台湾,20834,±2℃纪录片——台湾必须面对的真相,8.5,2010,陈文茜,纪录片,65,台湾,917,4312211,https://movie.douban.com/subject/4312211/,,20834,,
日本,11744,≒會田誠,8.3,2004,玉利祐助,纪录片,98,日本,95,5377123,https://movie.douban.com/subject/5377123/,http://www.imdb.com/title/tt1569466,11744,,
日本,8622,≒天明屋尚：新·武士藝術,7.9,2006,石崎豪,"纪录片,传记",80,日本,84,5376909,https://movie.douban.com/subject/5376909/,http://www.imdb.com/title/tt1569469,8622,,
日本,9263,≒舟越桂,8.2,2004,藤井謙二郎,"纪录片,传记",98,日本,88,5376912,https://movie.douban.com/subject/5376912/,http://www.imdb.com/title/tt1569467,9263,,
日本,1527,0.5毫米,8.2,2014,安藤桃子,剧情,196,日本,10151,21767183,https://movie.douban.com/subject/21767183/,http://www.imdb.com/title/tt3825360,1527,,
美国,1979,007：大战皇家赌场,7.4,2006,马丁·坎贝尔,"动作,惊悚,犯罪",144,美国 / 英国 / 德国 / 捷克 Czech Republic / 巴哈马 Bahamas,89610,1418190,https://movie.douban.com/subject/1418190/,http://www.imdb.com/title/tt0381061,1979,,
英国,934,007之黄金眼,7.5,1995,马丁·坎贝尔,"动作,惊悚,冒险",130,英国 / 美国,26168,1292677,https://movie.douban.com/subject/1292677/,http://www.imdb.com/title/tt0113189,934,,
英国,16576,007之金手指,7.1,1964,盖伊·汉弥尔顿,"动作,惊悚,冒险",110,英国,8271,1293828,https://movie.douban.com/subject/1293828/,http://www.imdb.com/title/tt0058150,16576,,
英国,1415,007之明日帝国,7.2,1997,罗杰·斯波蒂伍德,"动作,惊悚,冒险",119,英国 / 美国,25267,1299247,https://movie.douban.com/subject/1299247/,http://www.imdb.com/title/tt0120347,1415,,
英国,1326,007之择日而亡,7.1,2002,李·塔玛霍瑞,"动作,惊悚,犯罪,冒险",133,英国 / 美国,27912,1303773,https://movie.douban.com/subject/1303773/,http://www.imdb.com/title/tt0246460,1326,,
香港,9809,1/2段情,7.1,1985,陈国熹,,,香港,135,2332443,https://movie.douban.com/subject/2332443/,http://www.imdb.com/title/tt0113975,9809,,
香港,11103,1:99电影行动,7.5,2003,杜琪峰,剧情,70,香港,1992,1419547,https://movie.douban.com/subject/1419547/,http://www.imdb.com/title/tt3998438,11103,,
美国,2533,101斑点狗,8,1961,克莱德·杰洛尼米,"喜剧,动画,家庭,冒险",79,美国,23469,1298204,https://movie.douban.com/subject/1298204/,http://www.imdb.com/title/tt0055254,2533,,
韩国,22712,101次求婚,7.4,1993,吴锡根,"喜剧,爱情",112,韩国,159,2243575,https://movie.douban.com/subject/2243575/,http://www.imdb.com/title/tt0109006,22712,,
瑞典,23444,101岁老人跷家去,7.1,2016,Felix Herngren,"喜剧,冒险",109,瑞典,157,26810066,https://movie.douban.com/subject/26810066/,http://www.imdb.com/title/tt4940370,23444,,
英国,17785,101夜,7.4,1995,阿涅斯·瓦尔达,喜剧,101,英国 / 法国,196,1301432,https://movie.douban.com/subject/1301432/,http://www.imdb.com/title/tt0112654,17785,,
美国,1720,101真狗,7.3,1996,斯蒂芬·赫瑞克,"喜剧,家庭",103,美国,69415,1293135,https://movie.douban.com/subject/1293135/,http://www.imdb.com/title/tt0115433,1720,,
美国,4624,101忠狗续集：伦敦大冒险,7.5,2003,Jim Kammerud,"喜剧,动画,家庭",70,美国,1023,1401602,https://movie.douban.com/subject/1401602/,http://www.imdb.com/title/tt0324941,4624,,
美国,3616,102真狗,7,2000,凯文·利玛,"喜剧,家庭",100,美国 / 英国,9833,1301167,https://movie.douban.com/subject/1301167/,http://www.imdb.com/title/tt0211181,3616,,
印度,14306,10号国道,7.4,2015,Navdeep Singh,"剧情,惊悚,犯罪",115,印度,92,26344176,https://movie.douban.com/subject/26344176/,http://www.imdb.com/title/tt3742284,14306,,
中国大陆,599,11度青春之《老男孩》,8.5,2010,肖央,"剧情,喜剧,短片",42,中国大陆,204943,5344178,https://movie.douban.com/subject/5344178/,,599,,
中国台湾,13797,11号产房,9,2003,林立俊,纪录片,85,中国台湾,657,1827018,https://movie.douban.com/subject/1827018/,,13797,,
美国,479,127小时,8.1,2010,丹尼·博伊尔,"剧情,惊悚,传记,冒险",94,美国 / 英国,87205,4164444,https://movie.douban.com/subject/4164444/,http://www.imdb.com/title/tt1542344,479,,
美国,5768,12把椅子,7,1970,梅尔·布鲁克斯,"喜剧,冒险",94,美国,157,1758777,https://movie.douban.com/subject/1758777/,http://www.imdb.com/title/tt0066495,5768,,
日本,22636,12个温柔的日本人,8,1991,中原俊,喜剧,116,日本,1312,1840265,https://movie.douban.com/subject/1840265/,http://www.imdb.com/title/tt0104330,22636,,
俄罗斯,23229,12怒汉：大审判,8.5,2007,尼基塔·米哈尔科夫,"剧情,悬疑",159,俄罗斯,23193,2027899,https://movie.douban.com/subject/2027899/,http://www.imdb.com/title/tt0488478,23229,,
美国,3979,12岁的少年,8.2,2005,迈克尔·科斯塔,剧情,90,美国,1879,1790239,https://movie.douban.com/subject/1790239/,http://www.imdb.com/title/tt0417385,3979,,
中国大陆,21894,12只蚊子和5个人,8.3,1992,马克宣,"动画,短片",,中国大陆,1297,3024612,https://movie.douban.com/subject/3024612/,,21894,,
美国,8096,13个最美的女人,8.3,1964,安迪·沃霍尔,纪录片,,美国,127,3104196,https://movie.douban.com/subject/3104196/,http://www.imdb.com/title/tt0244371,8096,,
澳大利亚,8516,13号病房,7.9,2003,Peter Cornwell,"喜剧,动作,动画,恐怖,短片",15,澳大利亚,2818,1777013,https://movie.douban.com/subject/1777013/,http://www.imdb.com/title/tt0379000,8516,,
美国,1715,13号囚犯,7.6,1920,巴斯特·基顿,"喜剧,短片",20,美国,546,1958174,https://movie.douban.com/subject/1958174/,http://www.imdb.com/title/tt0011071,1715,,
德国,15541,14号收容所：完全控制区域,7.6,2012,Marc Wiese,"纪录片,传记",106,德国 / 韩国,409,11526895,https://movie.douban.com/subject/11526895/,http://www.imdb.com/title/tt2149190,15541,,
台湾,8343,16天,8.8,2005,陈家正,"纪录片,音乐",54,台湾,3840,1850465,https://movie.douban.com/subject/1850465/,,8343,,
日本,2365,17岁之风景,7,2004,若松孝二,剧情,,日本,91,1760143,https://movie.douban.com/subject/1760143/,http://www.imdb.com/title/tt0459168,2365,,
美国,10507,180°：克里斯托弗诺兰对话艾尔帕西诺,7.9,2002,Richard Ingber,"纪录片,短片",17,美国,106,3690001,https://movie.douban.com/subject/3690001/,http://www.imdb.com/title/tt0357402,10507,,
美国,2873,180°以南,8.8,2010,Chris Malloy,纪录片,86,美国,2366,4783582,https://movie.douban.com/subject/4783582/,http://www.imdb.com/title/tt1407927,2873,,
法国,2647,1915年的卡蜜儿,7,2013,布鲁诺·杜蒙,"剧情,传记",95,法国,510,6795226,https://movie.douban.com/subject/6795226/,http://www.imdb.com/title/tt2018086,2647,,
英国,1830,1929年大崩盘,7.6,2009,Joanna Bartholomew,"纪录片,历史",,英国,265,3540865,https://movie.douban.com/subject/3540865/,http://www.imdb.com/title/tt1363081,1830,,
美国,11281,1935年淘金女郎,7.4,1935,巴斯比·伯克利,"喜剧,歌舞",98,美国,65,1950788,https://movie.douban.com/subject/1950788/,http://www.imdb.com/title/tt0026421,11281,,
希腊,7511,1936年的岁月,7.3,1972,西奥·安哲罗普洛斯,"剧情,历史",105,希腊,577,1299404,https://movie.douban.com/subject/1299404/,http://www.imdb.com/title/tt0068939,7511,,
英国,6030,1945年的精神,7.2,2013,肯·洛奇,纪录片,94,英国,41,10833772,https://movie.douban.com/subject/10833772/,http://www.imdb.com/title/tt2332801,6030,,
中国台湾,5737,1949大迁徙,8.4,2004,吴胜威,纪录片,,中国台湾,532,2140355,https://movie.douban.com/subject/2140355/,http://www.imdb.com/title/tt9991724,5737,,
法国,12435,1966年,7.7,2006,Paul Weiland,"剧情,喜剧,传记",93,法国 / 英国,181,1890644,https://movie.douban.com/subject/1890644/,http://www.imdb.com/title/tt0493450,12435,,
美国,8777,1967-1975,8.6,2011,G?ran Olsson,纪录片,,美国 / 瑞典,23,5973065,https://movie.douban.com/subject/5973065/,http://www.imdb.com/title/tt1592527,8777,,
南斯拉夫,17546,1968年困惑的夏天,7.7,1984,高兰·帕斯卡杰维奇,"剧情,喜剧,爱情",,南斯拉夫,182,3304679,https://movie.douban.com/subject/3304679/,http://www.imdb.com/title/tt0088338,17546,,
美国,24690,1984：麦金塔,8.5,1984,雷德利·斯科特,"科幻,短片",,美国,154,26312003,https://movie.douban.com/subject/26312003/,http://www.imdb.com/title/tt4227346,24690,,
美国,1260,1991：朋克突围之年,8.3,1992,Dave Markey,"纪录片,音乐,历史",99,美国,960,1758482,https://movie.douban.com/subject/1758482/,http://www.imdb.com/title/tt0103595,1260,,
美国,2049,1991年莫斯科摇滚音乐节,9.6,1992,Wayne Isham,"纪录片,音乐",83,美国,1432,1870578,https://movie.douban.com/subject/1870578/,http://www.imdb.com/title/tt0304033,2049,,
英国,4424,2001：创造神话,8.5,2001,Paul Joyce,纪录片,43,英国,99,2969786,https://movie.douban.com/subject/2969786/,http://www.imdb.com/title/tt1014669,4424,,
英国,478,2001太空漫游,8.6,1968,斯坦利·库布里克,"科幻,惊悚,冒险",148,英国 / 美国,84066,1292226,https://movie.douban.com/subject/1292226/,http://www.imdb.com/title/tt0062622,478,,
台湾,10529,2002坏女孩,7.5,1999,温耀庭,,,台湾,131,1401611,https://movie.douban.com/subject/1401611/,http://www.imdb.com/title/tt0243130,10529,,
中国大陆,14729,2008·纪,7.9,2009,雷建军,纪录片,,中国大陆,46,10531234,https://movie.douban.com/subject/10531234/,,14729,,
中国大陆,636,2008年第29届北京奥运会开幕式,8.8,2008,张艺谋,运动,245,中国大陆,23793,3173528,https://movie.douban.com/subject/3173528/,http://www.imdb.com/title/tt1522814,636,,
英国,8125,2012年第30届伦敦奥运会开幕式：奇幻岛屿,7.5,2012,丹尼·博伊尔,运动,238,英国,7864,11533321,https://movie.douban.com/subject/11533321/,http://www.imdb.com/title/tt2305700,8125,,
日本,6804,2077日本锁国,7.1,2007,曾利文彦,"动作,科幻,动画",109,日本,8690,2035642,https://movie.douban.com/subject/2035642/,http://www.imdb.com/title/tt0970472,6804,,
日本,5375,20世纪的乡愁,7.3,1997,原将人,,93,日本,445,1851904,https://movie.douban.com/subject/1851904/,http://www.imdb.com/title/tt0118536,5375,,
日本,23603,2112年,9,1995,米谷良知,"剧情,科幻,动画,短片",31,日本,1191,3558793,https://movie.douban.com/subject/3558793/,,23603,,
美国,845,21克,7.9,2003,亚利桑德罗·冈萨雷斯·伊纳里图,"剧情,惊悚,犯罪",124,美国,39212,1308599,https://movie.douban.com/subject/1308599/,http://www.imdb.com/title/tt0315733,845,,
法国,16613,21世纪的起源,8.3,2000,让-吕克·戈达尔,"纪录片,短片",13,法国,163,1790621,https://movie.douban.com/subject/1790621/,http://www.imdb.com/title/tt0246866,16613,,
英国,2375,24小时狂欢派对,8,2002,迈克尔·温特伯顿,"剧情,喜剧,音乐,传记",117,英国,1247,1307548,https://movie.douban.com/subject/1307548/,http://www.imdb.com/title/tt0274309,2375,,
印度,22275,26个特殊劫匪,7.2,2013,尼拉基·潘迪,"剧情,惊悚,犯罪",144,印度 India,1144,20388674,https://movie.douban.com/subject/20388674/,http://www.imdb.com/title/tt2377938,22275,,
葡萄牙,23728,3×3,7.4,2009,Nuno Rocha,"喜剧,短片",,葡萄牙,761,4913491,https://movie.douban.com/subject/4913491/,http://www.imdb.com/title/tt1654725,23728,,
美国,21910,30美元,7.1,1999,格雷戈里·库克,"喜剧,短片",19,美国,582,3525473,https://movie.douban.com/subject/3525473/,http://www.imdb.com/title/tt0212555,21910,,
Czechoslovakia,10385,322档案,7.7,1969,杜桑·哈那克,剧情,93,Czechoslovakia,106,3250927,https://movie.douban.com/subject/3250927/,http://www.imdb.com/title/tt0124969,10385,,
Australia,24878,33又3/4岁的宅男阿雷,7.7,2013,Steve Baker,"喜剧,爱情,动画,短片,戏曲",,Australia,187,25747560,https://movie.douban.com/subject/25747560/,http://www.imdb.com/title/tt3149906,24878,,
日本,2203,3-4X10月,7.3,1990,北野武,"剧情,喜剧,动作,惊悚,犯罪",96,日本,1901,1297290,https://movie.douban.com/subject/1297290/,http://www.imdb.com/title/tt0098967,2203,,
美国,20398,34街奇缘,8,1947,乔治·希顿,"剧情,喜剧,爱情,家庭,奇幻",96,美国,594,1294652,https://movie.douban.com/subject/1294652/,http://www.imdb.com/title/tt0039628,20398,,
法国,5055,35杯朗姆酒,7,2008,克莱尔·德尼,剧情,100,法国 / 德国,722,3040430,https://movie.douban.com/subject/3040430/,http://www.imdb.com/title/tt1100048,5055,,
日本,17701,3D,7.2,2011,中村义洋,"喜剧,儿童",,日本,739,6087770,https://movie.douban.com/subject/6087770/,http://www.imdb.com/title/tt1817186,17701,,
法国,23755,3D铁三角,7.3,2013,让-吕克·戈达尔,"剧情,喜剧",70,法国 / 葡萄牙,298,21339366,https://movie.douban.com/subject/21339366/,http://www.imdb.com/title/tt2693702,23755,,
香港,4794,3个受伤的警察,7.6,1996,赵崇基,"剧情,犯罪",95,香港,1200,1759192,https://movie.douban.com/subject/1759192/,http://www.imdb.com/title/tt0116902,4794,,
日本,22432,3年B班金八老师,8.7,2011,生野慈朗,剧情,,日本,153,5964766,https://movie.douban.com/subject/5964766/,http://www.imdb.com/title/tt1824144,22432,,
日本,24606,3月的狮子,7.6,2017,大友启史,剧情,,日本,359,26615511,https://movie.douban.com/subject/26615511/,http://www.imdb.com/title/tt5514632,24606,,
日本,19379,3月的狮子,7.7,2017,大友启史,剧情,140,日本,288,26748877,https://movie.douban.com/subject/26748877/,http://www.imdb.com/title/tt5556068,19379,,
中国大陆,19083,405谋杀案,8.4,1980,沈耀庭,"悬疑,惊悚",97,中国大陆,4915,1303698,https://movie.douban.com/subject/1303698/,http://www.imdb.com/title/tt0339981,19083,,
美国,23122,40个白日梦,7.6,2011,Alison Bagnall,"剧情,喜剧,爱情",,美国,563,4907847,https://movie.douban.com/subject/4907847/,http://www.imdb.com/title/tt1554414,23122,,
美国,4583,42号传奇,7.9,2013,布莱恩·海尔格兰德,"剧情,传记,运动",128,美国,10768,2133379,https://movie.douban.com/subject/2133379/,http://www.imdb.com/title/tt0453562,4583,,
匈牙利,16889,42号交响乐,8.3,2014,Reka Bucsi,"动画,悬疑,短片",,匈牙利,201,25824277,https://movie.douban.com/subject/25824277/,http://www.imdb.com/title/tt3203054,16889,,
英国,2254,45周年,7.7,2015,安德鲁·海格,"剧情,爱情",95,英国,21577,25839662,https://movie.douban.com/subject/25839662/,http://www.imdb.com/title/tt3544082,2254,,
日本,3644,46亿年之恋,7.2,2006,三池崇史,"剧情,同性",85,日本,6557,1762834,https://movie.douban.com/subject/1762834/,http://www.imdb.com/title/tt0497876,3644,,
日本,1559,48×61,7.4,2004,林太郎,"动画,运动",,日本,137,4287540,https://movie.douban.com/subject/4287540/,,1559,,
日本,2583,4度工作室—次元ループ,7.6,2002,森本晃司,动画,,日本,46,5958591,https://movie.douban.com/subject/5958591/,,2583,,
日本,13303,4天3夜，5点的钟,7.6,2014,三泽拓哉,,88,日本,79,25931982,https://movie.douban.com/subject/25931982/,http://www.imdb.com/title/tt3882446,13303,,
美国,5363,500年后,7.1,1971,乔治·卢卡斯,"剧情,科幻,悬疑,惊悚",86,美国,2910,1299209,https://movie.douban.com/subject/1299209/,http://www.imdb.com/title/tt0066434,5363,,
西班牙,19682,54街传奇,7.9,2000,费尔南多·楚巴,"纪录片,音乐",105,西班牙 / 法国 / 意大利 / 墨西哥 / 比利时,65,1305700,https://movie.douban.com/subject/1305700/,http://www.imdb.com/title/tt0260775,19682,,
法国,5526,5台破相机,8.4,2011,Emad Burnat,纪录片,95,法国 / 以色列 / 巴勒斯坦,479,10432362,https://movie.douban.com/subject/10432362/,http://www.imdb.com/title/tt2125423,5526,,
台湾,19269,5月天诺亚方舟,8.2,2013,刘名峰,"纪录片,音乐",114,台湾,16248,24891524,https://movie.douban.com/subject/24891524/,http://www.imdb.com/title/tt3263052,19269,,
美国,11727,60年代的伯克利,8.7,1990,Mark Kitchell,"纪录片,音乐,历史",117,美国,158,1302896,https://movie.douban.com/subject/1302896/,http://www.imdb.com/title/tt0099121,11727,,
法国,12587,666房间,7.3,1982,Wim Wenders,纪录片,45,法国 / 西德,211,1464754,https://movie.douban.com/subject/1464754/,http://www.imdb.com/title/tt0083727,12587,,
英国,23022,77张床,7.2,2003,Alnoor Dewshi,短片,,英国,581,2035008,https://movie.douban.com/subject/2035008/,http://www.imdb.com/title/tt0472657,23022,,
瑞士,5608,78转,7.7,1985,乔治·史威兹贝尔,"动画,短片,奇幻",,瑞士,1340,1724348,https://movie.douban.com/subject/1724348/,http://www.imdb.com/title/tt0409661,5608,,
中国大陆,10463,798站,8,2010,郑阔,纪录片,105,中国大陆,152,6432152,https://movie.douban.com/subject/6432152/,,10463,,
韩国,140,7号房的礼物,8.7,2013,李焕庆,"剧情,喜剧,家庭",127,韩国,158767,10777687,https://movie.douban.com/subject/10777687/,http://www.imdb.com/title/tt2659414,140,154,
台湾,16016,7匹狼,7.5,1989,朱延平,喜剧,80,台湾,632,1298535,https://movie.douban.com/subject/1298535/,http://www.imdb.com/title/tt0089996,16016,,
英国,20404,8号房间,8.2,2013,詹姆斯·W·格里菲思,"科幻,短片",,英国 / 波兰,10190,24708811,https://movie.douban.com/subject/24708811/,http://www.imdb.com/title/tt2949338,20404,,
美国,9465,8号提案,8.8,2010,Reed Cowan,"纪录片,同性",80,美国,1308,4766100,https://movie.douban.com/subject/4766100/,http://www.imdb.com/title/tt1484522,9465,,
日本,15978,8万伏特霹雳神龙,7.3,2001,石井聪互,"剧情,科幻,惊悚,奇幻",55,日本,397,1437476,https://movie.douban.com/subject/1437476/,http://www.imdb.com/title/tt0276935,15978,,
美国,7746,8英里,8,2002,柯蒂斯·汉森,"剧情,音乐",110,美国 / 德国,41281,1307853,https://movie.douban.com/subject/1307853/,http://www.imdb.com/title/tt0298203,7746,,
澳大利亚,14316,9.99澳元,7.8,2008,塔蒂亚·罗森娜尔,"剧情,动画",78,澳大利亚 / 以色列,3010,3278841,https://movie.douban.com/subject/3278841/,http://www.imdb.com/title/tt0790799,14316,,
奥地利,18208,9/64:,7.3,1964,Kurt Kren,短片,3,奥地利,37,1774846,https://movie.douban.com/subject/1774846/,http://www.imdb.com/title/tt0157281,18208,,
德国,16523,90年代初香港电影漫谈,7.3,1991,Ralph Umard,"纪录片,短片",45,德国,482,26795100,https://movie.douban.com/subject/26795100/,,16523,,
美国,6994,911：生命的坠落,7.9,2006,Henry Singer,纪录片,,美国,171,1868833,https://movie.douban.com/subject/1868833/,http://www.imdb.com/title/tt0810746,6994,,
英国,24036,911事件簿,8.1,2002,亚利桑德罗·冈萨雷斯·伊纳里图,剧情,134,英国 / 法国 / Egypt / 日本 / 墨西哥 / 美国 / 伊朗,851,1300862,https://movie.douban.com/subject/1300862/,http://www.imdb.com/title/tt0328802,24036,,
英国,4737,92班,8.8,2013,本杰明·特纳,"纪录片,运动",99,英国,3533,25763481,https://movie.douban.com/subject/25763481/,http://www.imdb.com/title/tt3311384,4737,,
香港,5178,92黑玫瑰对黑玫瑰,7.4,1992,刘镇伟,"喜剧,动作,爱情,歌舞",95,香港,13181,1299135,https://movie.douban.com/subject/1299135/,http://www.imdb.com/title/tt0103602,5178,,
法国,4974,93航班,7.7,2006,保罗·格林格拉斯,"剧情,历史,犯罪,灾难",111,法国 / 英国 / 美国,18257,1588945,https://movie.douban.com/subject/1588945/,http://www.imdb.com/title/tt0475276,4974,,
加拿大,10133,93号航班,7.5,2006,彼得·马寇,"剧情,历史,灾难",89,加拿大 / 美国,2089,1765031,https://movie.douban.com/subject/1765031/,http://www.imdb.com/title/tt0481522,10133,,
美国,9745,9413的生与死,8,1928,Robert Florey,短片,11,美国,126,1907628,https://movie.douban.com/subject/1907628/,http://www.imdb.com/title/tt0131461,9745,,
英国,16318,97%被私人银行占据的无中生有债务货币,7,2012,Michael Oswald,纪录片,130,英国,64,24298710,https://movie.douban.com/subject/24298710/,http://www.imdb.com/title/tt2145874,16318,,
香港,1022,97古惑仔战无不胜,7.4,1997,刘伟强,"剧情,动作",106,香港,34410,1293265,https://movie.douban.com/subject/1293265/,http://www.imdb.com/title/tt0128907,1022,,
香港,6364,97家有喜事,7.4,1997,张坚庭,喜剧,90,香港,42743,1305197,https://movie.douban.com/subject/1305197/,http://www.imdb.com/title/tt0118591,6364,,
香港,913,98古惑仔之龙争虎斗,7.2,1998,刘伟强,动作,114,香港,29096,1308290,https://movie.douban.com/subject/1308290/,http://www.imdb.com/title/tt0163511,913,,
France,16886,98世界杯之旅,9.1,1998,Stéphane Meunier,,,France,122,1998756,https://movie.douban.com/subject/1998756/,http://www.imdb.com/title/tt0309093,16886,,
美国,10833,9号客人：纽约州州长斯皮策盛衰记,7.5,2010,Alex Gibney,,,美国,50,5257252,https://movie.douban.com/subject/5257252/,http://www.imdb.com/title/tt1638362,10833,,
美国,15952,A,7.3,1957,让·谷克多,,80,美国,60,1466117,https://movie.douban.com/subject/1466117/,http://www.imdb.com/title/tt0122855,15952,,
英国,14952,A,7.8,2011,Fiona Cushley,纪录片,,英国,37,10514835,https://movie.douban.com/subject/10514835/,,14952,,
UK,14649,A,9,2005,Sally Benton,,,UK,48,2122830,https://movie.douban.com/subject/2122830/,http://www.imdb.com/title/tt0465346,14649,,
