i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,
德国,8919,路德维希二世,7.5,2012,Marie Noelle,剧情,140,德国,554,11625432,https://movie.douban.com/subject/11625432/,http://www.imdb.com/title/tt2180463,8919,,
西德,6326,路德维希二世：一位君主的潮起潮落,7.5,1955,海尔穆特·考特纳,"剧情,传记,历史",115,西德,52,4231496,https://movie.douban.com/subject/4231496/,http://www.imdb.com/title/tt0047195,6326,,
英国,9648,路德维希二世的梦幻城堡,8.2,2013,丹·克鲁克山,纪录片,60,英国,168,24851377,https://movie.douban.com/subject/24851377/,http://www.imdb.com/title/tt3834096,9648,,
英国,15083,路克索花园,7.2,1972,德里克·贾曼,短片,,英国,101,1477496,https://movie.douban.com/subject/1477496/,http://www.imdb.com/title/tt0251093,15083,,
日本,14404,路人女主的养成方法：爱与青春的服务回,7.8,2015,龟井干太,动画,23,日本,837,26299416,https://movie.douban.com/subject/26299416/,,14404,,
日本,20892,路人女主的养成方法?：恋与纯情的福利回,7.9,2017,龟井干太,动画,24,日本,180,27013174,https://movie.douban.com/subject/27013174/,,20892,,
英国,20061,路上人生,7.7,2016,瑞奇·热维斯,"喜剧,音乐",96,英国,87,25951193,https://movie.douban.com/subject/25951193/,http://www.imdb.com/title/tt3137630,20061,,
以色列,19276,路斯的终点,8.3,2010,Ori Noam,,18,以色列,104,5360244,https://movie.douban.com/subject/5360244/,,19276,,
美国,19861,路西华升天,7.9,1972,Kenneth Anger,"短片,奇幻",29,美国 / 英国 / 西德,242,1851701,https://movie.douban.com/subject/1851701/,http://www.imdb.com/title/tt0066019,19861,,
中国大陆,20476,路遥,7.3,1993,何志铭,,60,中国大陆,66,2333814,https://movie.douban.com/subject/2333814/,,20476,,
美国,11015,路易·C.K.：臭不要脸,8.8,2007,Steven J. Santos,"喜剧,脱口秀",57,美国,481,3017790,https://movie.douban.com/subject/3017790/,http://www.imdb.com/title/tt0927619,11015,,
美国,21456,路易·C.K.：嘎嘣脆,8.9,2008,Shannon Hartman,,,美国,491,3241016,https://movie.douban.com/subject/3241016/,http://www.imdb.com/title/tt1190722,21456,,
美国,18378,路易·C.K.：老招笑了,8.7,2010,路易·C·K,喜剧,,美国,613,5170652,https://movie.douban.com/subject/5170652/,http://www.imdb.com/title/tt1421373,18378,,
美国,15486,路易·C·K,8.1,2017,路易·C·K,"喜剧,脱口秀",74,美国,1529,26981958,https://movie.douban.com/subject/26981958/,http://www.imdb.com/title/tt6736782,15486,,
美国,13644,路易蓝调,7.4,1985,泰利·茨威戈夫,"纪录片,音乐",75,美国,69,1978934,https://movie.douban.com/subject/1978934/,http://www.imdb.com/title/tt0089507,13644,,
法国,6540,路易十四的崛起,7,1966,罗伯托·罗西里尼,"剧情,历史",,法国,265,1303546,https://movie.douban.com/subject/1303546/,http://www.imdb.com/title/tt0060860,6540,,
法国,19886,路易十四的死亡纪事,7.1,2016,阿尔伯特·塞拉,"剧情,历史",115,法国,352,26648456,https://movie.douban.com/subject/26648456/,http://www.imdb.com/title/tt5129510,19886,,
美国,8297,路易丝·布鲁克斯-寻找露露,7.8,1998,Hugh Munro Neely,"纪录片,传记",60,美国,29,1960199,https://movie.douban.com/subject/1960199/,http://www.imdb.com/title/tt0157938/,8297,,
智利,14242,路易斯,7.9,2008,Joaquín Coci?a,"动画,恐怖,短片,儿童,奇幻",4,智利,528,4217398,https://movie.douban.com/subject/4217398/,http://www.imdb.com/title/tt2950596,14242,,
美国,4089,路易斯·布尔乔亚：蜘蛛、情妇与橘子,8.6,2008,马里昂·卡乔里,纪录片,99,美国,344,3675105,https://movie.douban.com/subject/3675105/,http://www.imdb.com/title/tt1386654,4089,,
France,10508,路易斯·卢米埃尔,7.5,1968,埃里克·侯麦,纪录片,,France,38,1989046,https://movie.douban.com/subject/1989046/,http://www.imdb.com/title/tt0209111,10508,,
美国,8987,路易斯安那州的故事,7.9,1948,罗伯特·弗拉哈迪,"剧情,纪录片",78,美国,169,1301085,https://movie.douban.com/subject/1301085/,http://www.imdb.com/title/tt0040550,8987,,
苏联,7514,鹭与鹤,7.6,1974,尤里·诺尔施泰因,"动画,短片",10,苏联,565,1448734,https://movie.douban.com/subject/1448734/,http://www.imdb.com/title/tt0071608,7514,,
法国,13716,露露的罗曼,7.5,2001,Pierre-Olivier Scotto,爱情,84,法国,47,1308618,https://movie.douban.com/subject/1308618/,http://www.imdb.com/title/tt0243529,13716,,
西班牙,10059,露西亚的情人,7.6,2001,胡里奥·密谭,"剧情,爱情,情色",128,西班牙 / 法国,19000,1297598,https://movie.douban.com/subject/1297598/,http://www.imdb.com/title/tt0254455,10059,,
智利,19172,露西娅,7.6,2007,Cristóbal León,"动画,短片",4,智利,210,6804361,https://movie.douban.com/subject/6804361/,http://www.imdb.com/title/tt2950564,19172,,
法国,1577,露营,7.1,2006,Fabien Onteniente,喜剧,95,法国,80,1769479,https://movie.douban.com/subject/1769479/,http://www.imdb.com/title/tt0473829,1577,,
加拿大,8966,挛爱砒霜,7,2003,John Greyson,"剧情,爱情",100,加拿大 / 南非,213,1479079,https://movie.douban.com/subject/1479079/,http://www.imdb.com/title/tt0379461,8966,,
日本,311,乱,8.7,1985,黑泽明,"剧情,动作,战争",162,日本 / 法国,31245,1296196,https://movie.douban.com/subject/1296196/,http://www.imdb.com/title/tt0089881,311,,
日本,16876,乱步地狱,7.2,2005,实相寺昭雄,"恐怖,奇幻",134,日本,2610,1421886,https://movie.douban.com/subject/1421886/,http://www.imdb.com/title/tt0423034,16876,,
日本,8358,乱马,7.6,1993,西村純二,"剧情,动画",29,日本,122,5045665,https://movie.douban.com/subject/5045665/,,8358,,
日本,18032,乱马,7.7,1994,西村纯二,"剧情,动画",28,日本,123,5045666,https://movie.douban.com/subject/5045666/,,18032,,
